node_id,node,label,alexa_rank,daily_pageviews_per_visitor,daily_time_on_site,total_sites_linking_in,bounce_rate,feat_domain,labelf0,labelf1,labelf2,labelf3
7702,iz.ru,3,-2.9421704730610667,-0.4512560845808254,-0.1090516933696472,1.4018820361095137,1.524358912252097,1,0,0,0,1
7703,retropatents.com,3,0.4820148575344276,-0.5923783453428789,-0.6639809806635065,-1.2413519823850037,1.157396557119792,1,0,0,0,1
7704,hipflat.com,3,-0.3869174332897572,0.7574867575985017,0.6632056187344504,-0.0517744638035225,-1.2636018377790486,1,0,0,0,1
7705,ukapologetics.net,3,-0.0735277772721411,-0.5923783453428789,-0.1335659154638951,0.6823514651191122,0.7320538273073484,1,0,0,0,1
7706,dandonovanforcongress.com,3,0.635502462389251,0.0211967014486576,-0.4785419221844587,-0.8721520777498111,0.5175953080741832,1,0,0,0,1
7707,deletebadcredit.org,3,0.2049121472630905,-0.5923783453428789,-1.331479287072192,-1.1159979614673603,0.5950386622417151,1,0,0,0,1
7708,cleanbrowsing.org,3,-0.4651407751961587,0.6961292529193479,0.4567284221759321,0.1249021056121286,-1.2099872079707572,1,0,0,0,1
7709,rawstory.com,1,-2.2574123689517243,-0.0647038051021573,0.5997774474319096,2.314288658575186,-0.0483368954577799,1,0,1,0,0
7710,voltaire-kkw.wikispaces.com,3,0.4618174501531391,0.0037255817979246,0.3137344639529069,1.451135562364423,-0.0154649695467516,1,0,0,0,1
7711,ehdp.com,3,0.4143535639797146,-0.5923783453428789,-0.4886190567454607,0.08526224174808,0.2971796077512085,1,0,0,0,1
7712,liceotrebisacce.com,3,0.8855359213793437,0.0211967014486576,-0.2705265562319348,-0.5119367808007712,-1.4167013917871691,1,0,0,0,1
7713,healthypsych.com,3,-0.467457958191978,1.5551343184274993,1.0766480324887016,0.0640025114918772,-1.2695590188688588,1,0,0,0,1
7714,charlescarrollsociety.com,3,0.9287557847564224,0.0211967014486576,0.99765126166003,-0.7626448226360582,0.1726745229741763,1,0,0,0,1
7715,fpraz-store.myshopify.com,3,0.7361868389421184,-0.2855908219471106,2.442618277547372,-1.1159979614673603,0.504489509676601,1,0,0,0,1
7716,tesla3.com,3,0.4444997064610219,-0.5923783453428789,0.7243880674039167,0.1670060931110499,0.6546104731398159,1,0,0,0,1
7717,presstelegram.com,3,-1.0056168146485047,-0.1628758125888033,-0.8591672737663378,1.5477248251715932,0.2912224266613983,1,0,0,0,1
7718,marxiststudent.com,3,0.6426362593872088,-0.5923783453428789,-1.1224461215139052,-0.6372908017184147,1.2443714010310205,1,0,0,0,1
7719,angelce.net,3,0.7850082129013543,-0.2242333172679569,-0.190028335081526,-1.7200591421339495,0.7832855846797159,1,0,0,0,1
