source,target,weight
dissentmagazine.org,jacobinmag.com,690.0
newsweek.com,vox.com,18900.0
express.co.uk,dailymail.co.uk,101900.0
jezebel.com,splinternews.com,253.0
house.gov,ballotpedia.org,10200.0
ntknetwork.com,freebeacon.com,4300.0
taskandpurpose.com,stripes.com,4600.0
newyorker.com,vox.com,18900.0
crooksandliars.com,politicususa.com,4200.0
nationalreview.com,washingtonexaminer.com,8700.0
gallup.com,pewresearch.org,11200.0
alreporter.com,altoday.com,109.0
washingtonpress.com,politicususa.com,4200.0
crfb.org,pgpf.org,533.0
stratfor.com,carnegieendowment.org,3000.0
palmerreport.com,politicususa.com,4200.0
theblaze.com,townhall.com,9400.0
todayifoundout.com,mentalfloss.com,11400.0
trofire.com,commondreams.org,10600.0
deadspin.com,theroot.com,3900.0
patriotbeat.com,en-volve.com,60.0
rightwingwatch.org,mediamatters.org,7300.0
desmogblog.com,heartland.org,2500.0
talkingpointsmemo.com,motherjones.com,17200.0
deadspin.com,jezebel.com,10200.0
foreignpolicy.com,thediplomat.com,3500.0
jihadwatch.org,gatestoneinstitute.org,1800.0
factcheck.org,washingtonexaminer.com,8700.0
thenewcivilrightsmovement.com,rightwingwatch.org,2200.0
mrc.org,cnsnews.com,7400.0
politisite.com,politisite.com,0.5
mirror.co.uk,thesun.co.uk,18000.0
alternet.org,thinkprogress.org,13100.0
dcwhispers.com,independentsentinel.com,1800.0
observer.com,talkingpointsmemo.com,9300.0
informationliberation.com,newswars.com,115.0
jezebel.com,theroot.com,3900.0
sunlightfoundation.com,opensecrets.org,5300.0
freedomcrossroads.com,freedomcrossroads.com,0.5
wilsoncenter.org,csis.org,3600.0
thatsnonsense.com,hoax-slayer.com,1800.0
aei.org,heritage.org,9700.0
frontpagemag.com,powerlineblog.com,4000.0
americanthinker.com,thegatewaypundit.com,3200.0
pressprogress.ca,north99.org,51.0
patriotpost.us,theresurgent.com,336.0
triggerreset.net,dailyheadlines.net,99.0
frc.org,onenewsnow.com,2000.0
bipartisanreport.com,shareblue.com,181.0
ronpaulinstitute.org,consortiumnews.com,2500.0
understandingthethreat.com,understandingthethreat.com,0.5
commentarymagazine.com,amgreatness.com,164.0
taipeitimes.com,taiwannews.com.tw,9800.0
cnsnews.com,townhall.com,9400.0
theestablishment.co,everydayfeminism.com,1600.0
lgbtqnation.com,advocate.com,4600.0
dailymail.co.uk,thesun.co.uk,18000.0
observer.com,thedailybeast.com,21600.0
rte.ie,thejournal.ie,3800.0
gq.com,esquire.com,12200.0
lifesitenews.com,lifenews.com,3400.0
jacobinmag.com,thenation.com,14000.0
americantoday.news,americantoday.news,0.5
bitchmedia.org,theestablishment.co,350.0
westernjournal.com,dailycaller.com,21500.0
electronicintifada.net,mondoweiss.net,2500.0
breitbart.com,dailywire.com,1600.0
theroot.com,jezebel.com,10200.0
cnsnews.com,newsbusters.org,5300.0
thejournal.ie,rte.ie,6100.0
mrc.org,newsbusters.org,5300.0
truthorfiction.com,factcheck.org,5100.0
boingboing.net,thedailybeast.com,25000.0
opensecrets.org,ballotpedia.org,10100.0
advocate.com,pinknews.co.uk,2600.0
frnewsreport.com,frnewsreport.com,0.5
renewamerica.com,frontpagemag.com,6200.0
bigleaguepolitics.com,theconservativetreehouse.com,732.0
